"Tempo","Temperatura"
15.0050,293.1
15.0100,293.1
15.0150,293.0
15.0200,293.0
15.0250,293.1
15.0300,293.0
15.0350,293.0
15.0400,293.0
15.0450,293.0
15.0500,293.0
15.0550,293.0
15.0600,293.0
15.0650,293.0
15.0700,293.0
15.0750,293.0
15.0800,293.0
15.0850,293.0
15.0900,293.0
15.0950,293.0
15.1000,293.1
15.1050,293.0
15.1100,293.0
15.1150,293.0
15.1200,293.0
15.1250,293.0
15.1300,293.0
15.1350,293.0
15.1400,293.0
15.1450,293.0
15.1500,293.0
15.1550,293.0
15.1600,293.0
15.1650,293.0
15.1700,293.0
15.1750,293.0
15.1800,293.0
15.1850,293.0
15.1900,293.0
15.1950,293.0
15.2000,293.0
15.2050,293.0
15.2100,293.0
15.2150,292.9
15.2200,293.0
15.2250,292.9
15.2300,293.0
15.2350,292.9
15.2400,293.0
15.2450,293.0
15.2500,292.9
15.2550,292.9
15.2600,292.9
15.2650,292.9
15.2700,292.9
15.2750,292.9
15.2800,292.9
15.2850,292.9
15.2900,292.9
15.2950,292.9
15.3000,292.9
15.3050,292.9
15.3100,292.9
15.3150,292.9
15.3200,292.9
15.3250,292.9
15.3300,292.9
15.3350,292.9
15.3400,292.9
15.3450,292.9
15.3500,292.9
15.3550,292.9
15.3600,292.9
15.3650,292.9
15.3700,292.9
15.3750,292.9
15.3800,292.9
15.3850,292.9
15.3900,292.9
15.3950,292.9
15.4000,292.9
15.4050,292.9
15.4100,292.9
15.4150,292.9
15.4200,292.9
15.4250,292.9
15.4300,292.9
15.4350,292.9
15.4400,292.9
15.4450,292.9
15.4500,292.9
15.4550,292.9
15.4600,292.9
15.4650,292.9
15.4700,292.9
15.4750,292.9
15.4800,292.9
15.4850,292.9
15.4900,292.9
15.4950,292.9
15.5000,292.9
15.5050,292.9
15.5100,292.9
15.5150,292.9
15.5200,292.9
15.5250,292.8
15.5300,292.8
15.5350,292.9
15.5400,292.8
15.5450,292.9
15.5500,292.8
15.5550,292.8
15.5600,292.8
15.5650,292.8
15.5700,292.8
15.5750,292.8
15.5800,292.8
15.5850,292.8
15.5900,292.8
15.5950,292.8
15.6000,292.8
15.6050,292.8
15.6100,292.8
15.6150,292.8
15.6200,292.8
15.6250,292.8
15.6300,292.8
15.6350,292.8
15.6400,292.8
15.6450,292.8
15.6500,292.8
15.6550,292.8
15.6600,292.8
15.6650,292.8
15.6700,292.8
15.6750,292.8
15.6800,292.8
15.6850,292.8
15.6900,292.8
15.6950,292.8
15.7000,292.8
15.7050,292.8
15.7100,292.8
15.7150,292.8
15.7200,292.8
15.7250,292.8
15.7300,292.8
15.7350,292.8
15.7400,292.8
15.7450,292.8
15.7500,292.8
15.7550,292.8
15.7600,292.8
15.7650,292.8
15.7700,292.8
15.7750,292.8
15.7800,292.8
15.7850,292.8
15.7900,292.8
15.7950,292.7
15.8000,292.7
15.8050,292.8
15.8100,292.8
15.8150,292.8
15.8200,292.7
15.8250,292.8
15.8300,292.7
15.8350,292.8
15.8400,292.7
15.8450,292.7
15.8500,292.7
15.8550,292.8
15.8600,292.7
15.8650,292.7
15.8700,292.7
15.8750,292.7
15.8800,292.7
15.8850,292.7
15.8900,292.7
15.8950,292.7
15.9000,292.7
15.9050,292.7
15.9100,292.7
15.9150,292.7
15.9200,292.7
15.9250,292.7
15.9300,292.7
15.9350,292.7
15.9400,292.7
15.9450,292.7
15.9500,292.7
15.9550,292.7
15.9600,292.7
15.9650,292.7
15.9700,292.7
15.9750,292.7
15.9800,292.7
15.9850,292.7
15.9900,292.7
15.9950,292.7
16.0000,292.7
16.0050,292.7
16.0100,292.7
16.0150,292.7
16.0200,292.6
16.0250,292.7
16.0300,292.7
16.0350,292.6
16.0400,292.6
16.0450,292.7
16.0500,292.7
16.0550,292.7
16.0600,292.6
16.0650,292.6
16.0700,292.7
16.0750,292.7
16.0800,292.6
16.0850,292.6
16.0900,292.6
16.0950,292.7
16.1000,292.6
16.1050,292.7
16.1100,292.6
16.1150,292.6
16.1200,292.6
16.1250,292.6
16.1300,292.6
16.1350,292.6
16.1400,292.6
16.1450,292.6
16.1500,292.6
16.1550,292.6
16.1600,292.6
16.1650,292.6
16.1700,292.6
16.1750,292.6
16.1800,292.6
16.1850,292.6
16.1900,292.6
16.1950,292.6
16.2000,292.6
16.2050,292.6
16.2100,292.6
16.2150,292.6
16.2200,292.6
16.2250,292.6
16.2300,292.6
16.2350,292.6
16.2400,292.6
16.2450,292.6
16.2500,292.6
16.2550,292.6
16.2600,292.6
16.2650,292.6
16.2700,292.6
16.2750,292.6
16.2800,292.6
16.2850,292.6
16.2900,292.6
16.2950,292.6
16.3000,292.6
16.3050,292.6
16.3100,292.6
16.3150,292.6
16.3200,292.6
16.3250,292.6
16.3300,292.6
16.3350,292.6
16.3400,292.6
16.3450,292.6
16.3500,292.6
16.3550,292.6
16.3600,292.6
16.3650,292.6
16.3700,292.6
16.3750,292.6
16.3800,292.6
16.3850,292.6
