"Tempo","Temperatura"
53.5000,296.6
53.5050,296.7
53.5100,296.8
53.5150,296.9
53.5200,296.9
53.5250,297.0
53.5300,297.1
53.5350,297.2
53.5400,297.3
53.5450,297.3
53.5500,297.4
53.5550,297.5
53.5600,297.6
53.5650,297.7
53.5700,297.7
53.5750,297.8
53.5800,297.9
53.5850,298.0
53.5900,298.1
53.5950,298.2
53.6000,298.2
53.6050,298.3
53.6100,298.4
53.6150,298.5
53.6200,298.6
53.6250,298.6
53.6300,298.7
53.6350,298.8
53.6400,298.8
53.6450,298.9
53.6500,299.0
53.6550,299.1
53.6600,299.2
53.6650,299.3
53.6700,299.3
53.6750,299.4
53.6800,299.5
53.6850,299.6
53.6900,299.7
53.6950,299.7
53.7000,299.8
53.7050,299.9
53.7100,299.9
53.7150,300.0
53.7200,300.1
53.7250,300.2
53.7300,300.2
53.7350,300.3
53.7400,300.4
53.7450,300.5
53.7500,300.6
53.7550,300.6
53.7600,300.7
53.7650,300.7
53.7700,300.8
53.7750,300.9
53.7800,301.0
53.7850,301.1
53.7900,301.1
53.7950,301.2
53.8000,301.3
53.8050,301.4
53.8100,301.4
53.8150,301.5
53.8200,301.5
53.8250,301.6
53.8300,301.7
53.8350,301.8
53.8400,301.8
53.8450,301.9
53.8500,302.0
53.8550,302.1
53.8600,302.1
53.8650,302.2
53.8700,302.2
53.8750,302.3
53.8800,302.4
53.8850,302.4
53.8900,302.5
53.8950,302.5
53.9000,302.6
53.9050,302.7
53.9100,302.8
53.9150,302.8
53.9200,302.9
53.9250,303.0
53.9300,303.0
53.9350,303.1
53.9400,303.2
53.9450,303.2
53.9500,303.3
53.9550,303.3
53.9600,303.4
53.9650,303.5
53.9700,303.6
53.9750,303.6
53.9800,303.7
53.9850,303.7
53.9900,303.8
53.9950,303.9
54.0000,303.9
54.0050,304.0
54.0100,304.1
54.0150,304.1
54.0200,304.2
54.0250,304.2
54.0300,304.3
54.0350,304.3
54.0400,304.4
54.0450,304.5
54.0500,304.5
54.0550,304.6
54.0600,304.7
54.0650,304.7
54.0700,304.7
54.0750,304.7
54.0800,304.8
54.0850,304.9
54.0900,304.9
54.0950,305.0
54.1000,305.1
54.1050,305.1
54.1100,305.2
54.1150,305.3
54.1200,305.3
54.1250,305.4
54.1300,305.4
54.1350,305.5
54.1400,305.5
54.1450,305.6
54.1500,305.7
54.1550,305.7
54.1600,305.7
54.1650,305.8
54.1700,305.8
54.1750,305.9
54.1800,306.0
54.1850,306.0
54.1900,306.0
54.1950,306.1
54.2000,306.1
54.2050,306.2
54.2100,306.2
54.2150,306.3
54.2200,306.4
54.2250,306.4
54.2300,306.5
54.2350,306.5
54.2400,306.5
54.2450,306.6
54.2500,306.7
54.2550,306.7
54.2600,306.7
54.2650,306.8
54.2700,306.8
54.2750,306.8
54.2800,306.9
54.2850,306.9
54.2900,307.0
54.2950,307.0
54.3000,307.1
54.3050,307.1
54.3100,307.2
54.3150,307.3
54.3200,307.3
54.3250,307.4
54.3300,307.4
54.3350,307.4
54.3400,307.5
54.3450,307.5
54.3500,307.6
54.3550,307.6
54.3600,307.7
54.3650,307.7
54.3700,307.7
54.3750,307.8
54.3800,307.8
54.3850,307.9
54.3900,307.9
54.3950,307.9
54.4000,308.0
54.4050,308.0
54.4100,308.1
54.4150,308.1
54.4200,308.1
54.4250,308.3
54.4300,308.3
54.4350,308.3
54.4400,308.4
54.4450,308.4
54.4500,308.5
54.4550,308.5
54.4600,308.5
54.4650,308.5
54.4700,308.6
54.4750,308.7
54.4800,308.7
54.4850,308.7
54.4900,308.8
54.4950,308.8
54.5000,308.8
54.5050,308.9
54.5100,308.9
54.5150,309.0
54.5200,309.0
54.5250,309.1
54.5300,309.1
54.5350,309.1
54.5400,309.2
54.5450,309.2
54.5500,309.2
54.5550,309.3
54.5600,309.3
54.5650,309.3
54.5700,309.4
54.5750,309.4
54.5800,309.5
54.5850,309.5
54.5900,309.5
54.5950,309.6
54.6000,309.7
54.6050,309.7
54.6100,309.7
54.6150,309.7
54.6200,309.8
54.6250,309.8
54.6300,309.9
54.6350,309.9
54.6400,309.9
54.6450,310.0
54.6500,310.0
54.6550,310.0
54.6600,310.1
54.6650,310.2
54.6700,310.2
54.6750,310.2
54.6800,310.2
54.6850,310.3
54.6900,310.3
54.6950,310.4
54.7000,310.4
54.7050,310.4
54.7100,310.4
54.7150,310.4
54.7200,310.5
54.7250,310.5
54.7300,310.6
54.7350,310.7
54.7400,310.7
54.7450,310.7
54.7500,310.8
54.7550,310.8
54.7600,310.8
54.7650,310.8
54.7700,310.9
54.7750,310.9
54.7800,310.9
54.7850,311.0
54.7900,311.0
54.7950,311.0
54.8000,311.1
54.8050,311.2
54.8100,311.1
54.8150,311.2
54.8200,311.2
54.8250,311.3
54.8300,311.3
54.8350,311.3
54.8400,311.3
54.8450,311.4
54.8500,311.4
54.8550,311.5
54.8600,311.5
54.8650,311.5
54.8700,311.6
54.8750,311.6
54.8800,311.7
54.8850,311.7
54.8900,311.7
54.8950,311.7
54.9000,311.8
54.9050,311.8
54.9100,311.8
54.9150,311.8
54.9200,311.9
54.9250,312.0
54.9300,312.0
54.9350,312.0
54.9400,312.0
54.9450,312.1
54.9500,312.1
54.9550,312.1
54.9600,312.2
54.9650,312.2
54.9700,312.2
54.9750,312.2
54.9800,312.3
54.9850,312.4
54.9900,312.4
54.9950,312.4
55.0000,312.4
55.0050,312.5
55.0100,312.5
55.0150,312.5
55.0200,312.5
55.0250,312.6
55.0300,312.6
55.0350,312.7
55.0400,312.7
55.0450,312.7
55.0500,312.7
55.0550,312.7
55.0600,312.8
55.0650,312.8
55.0700,312.8
55.0750,312.9
55.0800,312.9
55.0850,312.9
55.0900,312.9
55.0950,313.0
55.1000,313.1
55.1050,313.1
55.1100,313.1
55.1150,313.1
55.1200,313.2
55.1250,313.2
55.1300,313.2
55.1350,313.2
55.1400,313.2
55.1450,313.3
55.1500,313.4
55.1550,313.4
55.1600,313.4
55.1650,313.4
55.1700,313.4
55.1750,313.5
55.1800,313.5
55.1850,313.5
55.1900,313.5
55.1950,313.6
55.2000,313.6
55.2050,313.7
55.2100,313.7
55.2150,313.7
55.2200,313.7
55.2250,313.8
55.2300,313.8
55.2350,313.8
55.2400,313.8
55.2450,313.9
55.2500,313.9
55.2550,313.9
55.2600,314.0
55.2650,314.0
55.2700,314.0
55.2750,314.0
55.2800,314.1
55.2850,314.1
55.2900,314.1
55.2950,314.1
55.3000,314.1
55.3050,314.1
55.3100,314.3
55.3150,314.3
55.3200,314.3
55.3250,314.3
55.3300,314.4
55.3350,314.4
55.3400,314.4
55.3450,314.4
55.3500,314.4
55.3550,314.5
55.3600,314.5
55.3650,314.5
55.3700,314.6
55.3750,314.6
55.3800,314.6
55.3850,314.6
55.3900,314.6
55.3950,314.6
55.4000,314.7
55.4050,314.7
55.4100,314.7
55.4150,314.7
55.4200,314.7
55.4250,314.8
55.4300,314.8
55.4350,314.9
55.4400,314.9
55.4450,314.9
55.4500,314.9
55.4550,314.9
55.4600,315.0
55.4650,315.1
55.4700,315.1
55.4750,315.1
55.4800,315.1
55.4850,315.1
55.4900,315.1
55.4950,315.1
55.5000,315.2
55.5050,315.2
55.5100,315.2
55.5150,315.2
55.5200,315.3
55.5250,315.3
55.5300,315.4
55.5350,315.4
55.5400,315.4
55.5450,315.4
55.5500,315.4
55.5550,315.5
55.5600,315.5
55.5650,315.5
55.5700,315.6
55.5750,315.6
55.5800,315.6
55.5850,315.6
55.5900,315.6
55.5950,315.6
55.6000,315.7
55.6050,315.7
55.6100,315.7
55.6150,315.7
55.6200,315.7
55.6250,315.7
55.6300,315.8
55.6350,315.8
55.6400,315.9
55.6450,315.9
55.6500,315.9
55.6550,315.9
55.6600,315.9
55.6650,316.0
55.6700,316.0
55.6750,316.0
55.6800,316.0
55.6850,316.1
55.6900,316.1
55.6950,316.1
55.7000,316.1
55.7050,316.1
55.7100,316.1
55.7150,316.1
55.7200,316.2
55.7250,316.2
55.7300,316.2
55.7350,316.2
55.7400,316.3
55.7450,316.3
55.7500,316.3
55.7550,316.4
55.7600,316.4
55.7650,316.4
55.7700,316.4
55.7750,316.4
55.7800,316.4
55.7850,316.5
55.7900,316.5
55.7950,316.5
55.8000,316.5
55.8050,316.6
55.8100,316.6
55.8150,316.6
55.8200,316.6
55.8250,316.6
55.8300,316.6
55.8350,316.7
55.8400,316.7
55.8450,316.7
55.8500,316.8
55.8550,316.8
55.8600,316.8
55.8650,316.8
55.8700,316.8
55.8750,316.9
55.8800,316.9
55.8850,316.9
55.8900,316.9
55.8950,317.0
55.9000,317.0
55.9050,317.0
55.9100,317.0
55.9150,317.0
55.9200,317.0
55.9250,317.1
55.9300,317.1
55.9350,317.1
55.9400,317.1
55.9450,317.1
55.9500,317.1
55.9550,317.1
55.9600,317.1
55.9650,317.2
55.9700,317.2
55.9750,317.2
55.9800,317.3
55.9850,317.3
55.9900,317.3
55.9950,317.3
56.0000,317.3
56.0050,317.3
56.0100,317.4
56.0150,317.4
56.0200,317.4
56.0250,317.5
56.0300,317.5
56.0350,317.5
56.0400,317.5
56.0450,317.5
56.0500,317.5
56.0550,317.5
56.0600,317.5
56.0650,317.6
56.0700,317.6
56.0750,317.6
56.0800,317.7
56.0850,317.7
56.0900,317.7
56.0950,317.7
56.1000,317.7
56.1050,317.7
56.1100,317.7
56.1150,317.8
56.1200,317.8
56.1250,317.8
56.1300,317.8
56.1350,317.9
56.1400,317.9
56.1450,317.9
56.1500,317.9
56.1550,317.9
56.1600,317.9
56.1650,317.9
56.1700,317.9
56.1750,317.9
56.1800,317.9
56.1850,318.0
56.1900,318.0
56.1950,318.1
56.2000,318.1
56.2050,318.1
56.2100,318.1
56.2150,318.1
56.2200,318.1
56.2250,318.1
56.2300,318.1
56.2350,318.2
56.2400,318.2
56.2450,318.2
56.2500,318.2
56.2550,318.2
56.2600,318.2
56.2650,318.2
56.2700,318.3
56.2750,318.3
56.2800,318.3
56.2850,318.3
56.2900,318.3
56.2950,318.3
56.3000,318.4
56.3050,318.4
56.3100,318.5
56.3150,318.4
56.3200,318.5
56.3250,318.5
56.3300,318.5
56.3350,318.5
56.3400,318.5
56.3450,318.5
56.3500,318.5
56.3550,318.6
56.3600,318.6
56.3650,318.6
56.3700,318.6
56.3750,318.6
56.3800,318.7
56.3850,318.7
56.3900,318.7
56.3950,318.7
56.4000,318.7
56.4050,318.7
56.4100,318.7
56.4150,318.7
56.4200,318.7
56.4250,318.7
56.4300,318.7
56.4350,318.8
56.4400,318.8
56.4450,318.8
56.4500,318.9
56.4550,318.9
56.4600,318.9
56.4650,318.9
56.4700,318.9
56.4750,318.9
56.4800,318.9
56.4850,318.9
56.4900,318.9
56.4950,318.9
56.5000,319.0
56.5050,319.0
56.5100,319.0
56.5150,319.0
56.5200,319.0
56.5250,319.1
56.5300,319.1
56.5350,319.1
56.5400,319.1
56.5450,319.1
56.5500,319.1
56.5550,319.1
56.5600,319.1
56.5650,319.1
56.5700,319.2
56.5750,319.2
56.5800,319.2
56.5850,319.2
56.5900,319.2
56.5950,319.2
56.6000,319.3
56.6050,319.2
56.6100,319.3
56.6150,319.3
56.6200,319.3
56.6250,319.3
56.6300,319.3
56.6350,319.3
56.6400,319.3
56.6450,319.3
56.6500,319.3
56.6550,319.3
56.6600,319.4
56.6650,319.4
56.6700,319.4
56.6750,319.4
56.6800,319.5
56.6850,319.5
56.6900,319.6
56.6950,319.5
56.7000,319.6
56.7050,319.5
56.7100,319.6
56.7150,319.6
56.7200,319.6
56.7250,319.6
56.7300,319.6
56.7350,319.6
56.7400,319.6
56.7450,319.6
56.7500,319.6
56.7550,319.6
56.7600,319.7
56.7650,319.6
56.7700,319.7
56.7750,319.6
56.7800,319.7
56.7850,319.8
56.7900,319.7
56.7950,319.8
56.8000,319.8
56.8050,319.8
56.8100,319.8
56.8150,319.8
56.8200,319.8
56.8250,319.8
56.8300,319.8
56.8350,319.8
56.8400,319.8
56.8450,319.8
56.8500,319.8
56.8550,319.8
56.8600,319.8
56.8650,319.8
56.8700,319.8
56.8750,319.9
56.8800,319.9
56.8850,319.9
56.8900,320.0
56.8950,319.9
56.9000,320.0
56.9050,320.0
56.9100,320.0
56.9150,320.0
56.9200,320.0
56.9250,320.0
56.9300,320.0
56.9350,320.0
56.9400,320.0
56.9450,320.0
56.9500,320.1
56.9550,320.0
56.9600,320.1
56.9650,320.1
56.9700,320.1
56.9750,320.1
56.9800,320.2
56.9850,320.1
56.9900,320.2
56.9950,320.2
57.0000,320.3
57.0050,320.2
57.0100,320.2
57.0150,320.2
57.0200,320.3
57.0250,320.3
57.0300,320.3
57.0350,320.3
57.0400,320.3
57.0450,320.3
57.0500,320.3
57.0550,320.3
57.0600,320.3
57.0650,320.3
57.0700,320.3
57.0750,320.3
57.0800,320.3
57.0850,320.4
57.0900,320.4
57.0950,320.3
57.1000,320.4
57.1050,320.4
57.1100,320.4
57.1150,320.4
57.1200,320.4
57.1250,320.4
57.1300,320.4
57.1350,320.4
57.1400,320.5
57.1450,320.5
57.1500,320.4
57.1550,320.5
57.1600,320.5
57.1650,320.5
57.1700,320.5
57.1750,320.5
57.1800,320.5
57.1850,320.5
57.1900,320.5
57.1950,320.6
57.2000,320.5
57.2050,320.6
57.2100,320.6
57.2150,320.6
57.2200,320.6
57.2250,320.6
57.2300,320.6
57.2350,320.7
57.2400,320.7
57.2450,320.6
57.2500,320.7
57.2550,320.7
57.2600,320.7
57.2650,320.7
57.2700,320.7
57.2750,320.7
57.2800,320.7
57.2850,320.7
57.2900,320.7
57.2950,320.7
57.3000,320.7
57.3050,320.7
57.3100,320.7
57.3150,320.7
57.3200,320.7
57.3250,320.7
57.3300,320.8
57.3350,320.8
57.3400,320.8
57.3450,320.7
57.3500,320.8
57.3550,320.9
57.3600,320.9
57.3650,320.8
57.3700,320.8
57.3750,320.9
57.3800,320.9
57.3850,320.9
57.3900,320.9
57.3950,320.9
57.4000,320.9
57.4050,320.9
57.4100,321.0
57.4150,321.0
57.4200,321.0
57.4250,321.0
57.4300,321.0
57.4350,321.0
57.4400,321.0
57.4450,321.0
57.4500,321.0
57.4550,321.0
57.4600,321.0
57.4650,321.0
57.4700,321.0
57.4750,321.0
57.4800,321.0
57.4850,321.0
57.4900,321.0
57.4950,321.0
57.5000,321.1
57.5050,321.0
57.5100,321.1
57.5150,321.0
57.5200,321.1
57.5250,321.1
57.5300,321.1
57.5350,321.1
57.5400,321.1
57.5450,321.1
57.5500,321.1
57.5550,321.1
57.5600,321.2
57.5650,321.2
57.5700,321.2
57.5750,321.2
57.5800,321.2
57.5850,321.2
57.5900,321.2
57.5950,321.2
57.6000,321.2
