"Temperatura","Pressione"
296.6,2.17
296.7,2.18
296.8,2.19
296.9,2.20
297.0,2.22
297.1,2.23
297.2,2.25
297.2,2.25
297.2,2.26
297.3,2.28
297.3,2.30
297.3,2.33
297.4,2.36
297.4,2.40
297.4,2.42
297.4,2.45
297.4,2.48
297.4,2.52
297.5,2.56
297.5,2.59
297.5,2.63
297.5,2.67
297.5,2.70
297.5,2.74
297.6,2.78
297.6,2.82
297.6,2.86
297.6,2.89
297.7,2.93
297.7,2.97
297.7,3.01
297.7,3.06
297.7,3.10
297.8,3.13
297.8,3.17
297.9,3.21
297.9,3.25
298.0,3.29
298.0,3.33
298.1,3.37
298.1,3.41
298.2,3.45
298.2,3.49
298.3,3.52
298.3,3.57
298.4,3.60
298.4,3.65
298.5,3.69
298.6,3.73
298.7,3.77
298.7,3.82
298.7,3.86
298.8,3.90
298.8,3.94
298.9,3.98
299.0,4.02
299.0,4.07
299.1,4.11
299.2,4.15
299.3,4.19
299.3,4.23
299.4,4.28
299.5,4.31
299.6,4.35
299.6,4.39
299.7,4.44
299.8,4.48
299.9,4.53
299.9,4.57
300.0,4.61
300.1,4.66
300.1,4.70
300.2,4.73
300.3,4.77
300.4,4.82
300.5,4.86
300.6,4.90
300.6,4.95
300.7,4.99
300.8,5.04
300.9,5.08
301.0,5.12
301.1,5.17
301.2,5.21
301.3,5.25
301.4,5.29
301.4,5.34
301.5,5.38
301.6,5.43
301.7,5.47
301.8,5.51
301.9,5.56
302.0,5.61
302.1,5.64
302.2,5.69
302.3,5.74
302.4,5.78
302.4,5.82
302.5,5.88
302.6,5.92
302.7,5.96
302.8,6.00
302.9,6.05
303.0,6.09
303.1,6.14
303.2,6.18
303.3,6.23
303.4,6.27
303.5,6.31
303.6,6.35
303.7,6.40
303.8,6.44
303.9,6.49
304.0,6.54
304.1,6.58
304.2,6.63
304.3,6.68
304.4,6.73
304.5,6.78
304.6,6.83
304.7,6.87
304.7,6.92
304.8,6.96
304.9,7.01
305.1,7.06
305.2,7.11
305.3,7.16
305.4,7.20
305.5,7.25
305.6,7.30
305.7,7.35
305.8,7.40
305.9,7.45
306.0,7.49
306.1,7.54
306.2,7.59
306.3,7.63
306.4,7.68
306.5,7.73
306.6,7.77
306.7,7.81
306.8,7.86
306.9,7.90
307.0,7.94
307.0,7.98
307.2,8.03
307.3,8.07
307.4,8.12
307.5,8.16
307.6,8.21
307.7,8.26
307.8,8.32
307.9,8.35
308.0,8.40
308.1,8.45
308.2,8.50
308.3,8.55
308.4,8.59
308.5,8.64
308.6,8.69
308.7,8.73
308.8,8.78
309.0,8.83
309.1,8.88
309.2,8.93
309.3,8.97
309.4,9.02
309.5,9.07
309.6,9.12
309.7,9.16
309.8,9.21
309.9,9.26
310.0,9.32
310.2,9.36
310.2,9.41
310.3,9.46
310.4,9.51
310.5,9.57
310.7,9.62
310.8,9.67
310.9,9.72
311.0,9.77
311.1,9.82
311.2,9.87
311.3,9.92
311.4,9.97
311.5,10.02
311.6,10.05
311.7,10.05
311.8,10.05
312.0,10.05
312.1,10.05
312.1,10.05
312.2,10.05
312.4,10.05
312.5,10.05
312.6,10.05
312.7,10.05
312.8,10.05
312.9,10.05
313.0,10.05
313.1,10.05
313.2,10.05
313.4,10.05
313.4,10.05
313.5,10.05
313.7,10.05
313.8,10.05
313.8,10.05
314.0,10.05
314.1,10.05
314.1,10.05
314.3,10.05
314.4,10.05
314.5,10.05
