"Temperatura","Pressione"
292.3,0.03
292.2,0.03
292.2,0.03
292.3,0.03
292.3,0.03
292.3,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.3,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.1,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.2,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.03
292.1,0.04
292.1,0.04
292.1,0.04
292.1,0.04
292.1,0.04
292.1,0.04
292.1,0.04
292.1,0.05
292.1,0.05
292.1,0.05
292.1,0.05
292.1,0.05
292.1,0.06
292.1,0.06
292.1,0.06
292.1,0.07
292.1,0.07
292.1,0.08
292.1,0.08
292.1,0.09
292.1,0.09
292.1,0.10
292.1,0.10
292.1,0.10
292.1,0.11
292.1,0.11
292.1,0.12
292.1,0.13
292.1,0.13
292.1,0.13
292.1,0.14
292.1,0.15
292.1,0.15
292.1,0.16
292.1,0.16
292.1,0.17
292.1,0.18
292.1,0.18
292.1,0.19
292.1,0.19
292.1,0.20
292.1,0.20
292.1,0.21
292.1,0.22
292.1,0.22
292.1,0.23
292.1,0.23
292.1,0.24
292.1,0.25
292.1,0.25
292.1,0.26
292.1,0.26
292.1,0.26
292.1,0.27
292.1,0.28
292.1,0.28
292.1,0.29
292.1,0.29
292.1,0.30
292.1,0.31
292.1,0.31
292.1,0.32
292.1,0.32
292.1,0.33
292.1,0.34
292.1,0.34
292.1,0.35
292.1,0.35
292.2,0.36
292.2,0.37
292.2,0.37
292.1,0.38
292.2,0.39
292.2,0.39
292.2,0.40
292.2,0.40
292.2,0.41
292.2,0.42
292.2,0.43
292.3,0.43
292.2,0.43
292.3,0.44
292.3,0.45
292.3,0.45
292.3,0.46
292.3,0.47
292.3,0.47
292.3,0.47
292.3,0.48
292.3,0.49
292.3,0.49
292.3,0.50
292.3,0.50
292.3,0.51
292.3,0.51
292.3,0.52
292.3,0.53
292.3,0.53
292.4,0.54
292.3,0.55
292.4,0.56
292.4,0.56
292.4,0.57
292.4,0.57
292.4,0.58
292.4,0.58
292.4,0.59
292.4,0.60
292.5,0.60
292.4,0.61
292.5,0.62
292.5,0.62
292.5,0.63
292.5,0.64
292.5,0.64
292.5,0.65
292.5,0.66
292.5,0.66
292.5,0.67
292.5,0.67
292.6,0.68
292.6,0.68
292.6,0.69
292.6,0.70
292.6,0.70
292.6,0.71
292.6,0.72
292.6,0.72
292.6,0.73
292.6,0.74
292.6,0.74
292.6,0.75
292.6,0.75
292.7,0.76
292.7,0.77
292.7,0.78
292.7,0.78
292.7,0.79
292.7,0.79
292.7,0.80
292.7,0.81
292.7,0.82
292.8,0.82
292.8,0.83
292.8,0.83
292.8,0.84
292.8,0.85
292.8,0.86
292.8,0.86
292.8,0.87
292.8,0.87
292.9,0.88
292.9,0.89
292.9,0.89
292.9,0.89
292.9,0.90
292.9,0.91
292.9,0.91
292.9,0.92
293.0,0.93
293.0,0.93
293.0,0.94
293.0,0.95
293.0,0.95
293.0,0.96
293.0,0.97
293.0,0.97
293.1,0.98
293.1,0.99
293.1,0.99
293.1,1.00
293.1,1.01
293.1,1.01
293.1,1.02
293.2,1.03
293.2,1.03
293.2,1.04
293.2,1.05
293.2,1.06
293.2,1.06
293.2,1.07
293.2,1.07
293.2,1.08
293.2,1.09
293.3,1.09
293.3,1.10
293.3,1.10
293.3,1.11
293.3,1.12
293.4,1.13
293.4,1.13
293.4,1.14
293.4,1.15
293.4,1.15
293.4,1.16
293.5,1.17
293.5,1.17
293.5,1.18
293.5,1.19
293.5,1.19
293.5,1.20
293.5,1.21
293.5,1.21
293.5,1.22
293.6,1.23
293.6,1.24
293.6,1.24
293.6,1.25
