
"Posizione","Pressione"
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,-0.01
0.000000,0.00
-6.250000E-5,0.00
0.000000,-0.01
0.000000,0.00
0.000000,-0.01
0.000000,0.00
6.250000E-5,0.17
3.750000E-4,0.69
5.000000E-4,0.94
6.875000E-4,1.40
0.001000,1.99
0.001312,2.62
0.001562,3.12
0.001875,3.76
0.002125,4.26
0.002438,4.87
0.002687,5.35
0.003000,5.90
0.003188,6.22
0.003375,6.53
0.003625,6.96
0.003938,7.47
0.004250,8.08
0.004500,8.48
0.004750,9.06
0.005063,9.59
0.005562,9.98
0.005625,9.98
0.006000,9.98
0.006312,9.98
0.006562,9.98
0.006875,9.98
0.007062,9.98
0.007187,9.98
0.007500,9.98
0.007750,9.98
0.008063,9.98
0.008187,9.98
0.008438,9.98
0.008688,9.98
0.008813,9.98
0.008875,9.98
0.008875,9.98
0.008875,9.98
0.008875,9.98
0.008875,9.98
0.008875,9.98
0.008750,9.98
0.008750,9.98
0.008750,9.98
0.008688,9.98
0.008563,9.98
0.008313,9.98
0.008313,9.98
0.008250,9.98
0.008187,9.98
0.008187,9.89
0.008187,9.71
0.008125,9.41
0.008063,9.25
0.008063,9.14
0.008063,8.99
0.008000,8.70
0.007937,8.47
0.007875,8.14
0.007750,7.71
0.007562,7.24
0.007437,6.92
0.007375,6.65
0.007312,6.42
0.007250,6.13
0.007000,5.51
0.006875,5.23
0.006750,4.91
0.006625,4.61
0.006562,4.40
0.006500,4.26
0.006375,3.88
0.006187,3.49
0.006187,3.50
0.006125,3.34
0.005937,3.00
0.005812,2.71
0.005750,2.58
0.005750,2.51
0.005625,2.21
0.005375,1.66
0.005312,1.56
0.005187,1.32
0.004937,0.71
0.004687,0.38
0.004625,0.29
0.004500,0.11
0.004375,0.06
0.004375,0.10
0.004375,0.09
0.004375,0.09
0.004312,0.09
0.004312,0.09
0.004312,0.09
0.004312,0.09
0.004250,0.09
0.004250,0.08
0.004250,0.09
0.004250,0.08
0.004250,0.09
0.004250,0.08
0.004187,0.09
0.004187,0.09
0.004187,0.08
0.004187,0.09
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004187,0.08
0.004125,0.08
0.004125,0.08
