"Pressione","Posizione"
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,000000
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,1.25000E-4
0.00,6.25000E-5
0.00,6.25000E-5
0.00,6.25000E-5
0.00,000000
0.00,000000
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.00,-6.25000E-5
0.01,-6.25000E-5
0.01,-6.25000E-5
0.02,-6.25000E-5
0.04,-6.25000E-5
0.07,-6.25000E-5
0.10,-6.25000E-5
0.11,000000
0.12,000000
0.12,000000
0.12,000000
0.13,000000
0.13,000000
0.13,000000
0.14,000000
0.15,000000
0.16,000000
0.18,000000
0.21,000000
0.24,6.25000E-5
0.27,6.25000E-5
0.33,6.25000E-5
0.40,1.25000E-4
0.45,1.25000E-4
0.47,1.87500E-4
0.49,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.51,1.87500E-4
0.51,1.87500E-4
0.51,1.87500E-4
0.51,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.50,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.50,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.47,1.87500E-4
0.48,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.44,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.44,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.45,1.87500E-4
0.46,1.87500E-4
0.46,1.87500E-4
0.47,1.87500E-4
0.47,1.87500E-4
0.48,1.87500E-4
0.48,1.87500E-4
0.49,1.87500E-4
0.49,1.87500E-4
0.50,1.87500E-4
0.50,2.50000E-4
0.50,2.50000E-4
0.50,2.50000E-4
0.51,2.50000E-4
0.51,2.50000E-4
0.51,2.50000E-4
0.51,2.50000E-4
0.51,2.50000E-4
0.52,2.50000E-4
0.52,2.50000E-4
0.52,2.50000E-4
0.53,2.50000E-4
0.53,2.50000E-4
0.54,2.50000E-4
0.55,2.50000E-4
0.58,2.50000E-4
0.61,2.50000E-4
0.65,3.12500E-4
0.71,3.12500E-4
0.79,3.75000E-4
0.83,3.75000E-4
0.87,4.37500E-4
0.89,4.37500E-4
0.91,4.37500E-4
0.91,4.37500E-4
0.93,4.37500E-4
0.94,4.37500E-4
0.96,4.37500E-4
0.97,4.37500E-4
0.99,5.00000E-4
1.01,5.00000E-4
1.03,5.00000E-4
1.04,5.00000E-4
1.07,5.00000E-4
1.10,5.00000E-4
1.15,5.62500E-4
1.19,5.62500E-4
1.22,5.62500E-4
1.23,5.62500E-4
1.24,5.62500E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.23,6.25000E-4
1.24,6.25000E-4
1.23,6.25000E-4
1.23,6.25000E-4
1.23,6.25000E-4
1.24,6.25000E-4
1.23,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.24,6.25000E-4
1.23,6.25000E-4
1.24,6.25000E-4
1.23,6.25000E-4
1.23,6.25000E-4
1.23,6.25000E-4
1.23,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.21,6.25000E-4
1.22,6.25000E-4
1.22,6.25000E-4
1.24,6.25000E-4
1.25,6.25000E-4
1.26,6.87500E-4
1.28,6.87500E-4
1.29,6.87500E-4
1.30,6.87500E-4
1.31,6.87500E-4
1.32,6.87500E-4
1.33,6.87500E-4
1.34,6.87500E-4
1.34,6.87500E-4
1.35,6.87500E-4
1.36,6.87500E-4
1.36,7.50000E-4
1.37,7.50000E-4
1.38,7.50000E-4
1.39,7.50000E-4
1.39,7.50000E-4
1.40,7.50000E-4
1.40,7.50000E-4
1.41,7.50000E-4
1.42,7.50000E-4
1.43,7.50000E-4
1.44,7.50000E-4
1.45,7.50000E-4
1.46,8.12500E-4
1.46,8.12500E-4
1.46,8.12500E-4
1.46,8.12500E-4
1.46,8.12500E-4
1.47,8.12500E-4
1.47,8.12500E-4
1.48,8.12500E-4
1.48,8.12500E-4
1.48,8.12500E-4
1.49,8.12500E-4
1.50,8.12500E-4
1.51,8.12500E-4
1.52,8.12500E-4
1.54,8.75000E-4
1.55,8.75000E-4
1.56,8.75000E-4
1.57,8.75000E-4
1.57,8.75000E-4
1.57,8.75000E-4
1.57,8.75000E-4
1.57,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.56,8.75000E-4
1.57,8.75000E-4
1.57,8.75000E-4
1.58,8.75000E-4
1.59,8.75000E-4
1.59,8.75000E-4
1.60,8.75000E-4
1.61,8.75000E-4
1.62,9.37500E-4
1.63,9.37500E-4
1.64,9.37500E-4
1.65,9.37500E-4
1.65,9.37500E-4
1.67,9.37500E-4
1.67,9.37500E-4
1.68,9.37500E-4
1.69,9.37500E-4
1.70,9.37500E-4
1.70,0.00100000
1.71,0.00100000
1.71,0.00100000
1.71,0.00100000
1.71,0.00100000
1.72,0.00100000
1.72,0.00100000
1.73,0.00100000
1.74,0.00100000
1.75,0.00100000
1.77,0.00100000
1.79,0.00106250
1.80,0.00106250
1.81,0.00106250
1.81,0.00106250
1.82,0.00106250
1.82,0.00106250
1.82,0.00106250
1.83,0.00106250
1.83,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.84,0.00106250
1.83,0.00106250
1.84,0.00106250
1.83,0.00106250
1.83,0.00106250
1.83,0.00106250
1.83,0.00106250
1.83,0.00106250
1.83,0.00106250
1.82,0.00106250
1.83,0.00106250
1.83,0.00106250
1.83,0.00112500
1.83,0.00112500
1.83,0.00112500
1.84,0.00112500
1.84,0.00112500
1.84,0.00112500
1.85,0.00112500
1.86,0.00112500
1.87,0.00112500
1.88,0.00112500
1.89,0.00112500
1.89,0.00112500
1.91,0.00112500
1.91,0.00112500
1.92,0.00118750
1.92,0.00118750
1.93,0.00118750
1.93,0.00118750
1.94,0.00118750
1.95,0.00118750
1.96,0.00118750
1.97,0.00118750
1.98,0.00118750
1.99,0.00118750
2.00,0.00118750
2.00,0.00118750
2.00,0.00118750
2.00,0.00125000
2.01,0.00125000
2.01,0.00125000
2.02,0.00125000
2.03,0.00125000
2.04,0.00125000
2.04,0.00125000
2.05,0.00125000
2.06,0.00125000
2.08,0.00125000
2.09,0.00125000
2.10,0.00131250
2.11,0.00131250
2.13,0.00131250
2.14,0.00131250
2.16,0.00131250
2.18,0.00131250
2.20,0.00131250
2.22,0.00137500
2.23,0.00137500
2.24,0.00137500
2.25,0.00137500
2.25,0.00137500
2.25,0.00137500
2.26,0.00137500
2.26,0.00137500
2.26,0.00137500
2.26,0.00137500
2.25,0.00137500
2.25,0.00137500
2.25,0.00137500
2.25,0.00137500
2.24,0.00137500
2.24,0.00137500
2.24,0.00137500
2.24,0.00137500
2.24,0.00137500
2.23,0.00137500
2.23,0.00137500
2.23,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
2.22,0.00137500
