Posizione,Pressione
6.250000E-5,0.18
6.250000E-5,0.21
6.250000E-5,0.25
6.250000E-5,0.32
1.250000E-4,0.41
1.875000E-4,0.53
2.500000E-4,0.68
3.125000E-4,0.86
3.750000E-4,1.13
4.375000E-4,1.50
6.250000E-4,2.04
7.500000E-4,2.67
0.001000,3.34
0.001250,3.95
0.001437,4.61
0.001625,5.33
0.001875,6.07
0.002125,6.85
0.002375,7.66
0.002625,8.33
0.002875,8.98
0.003063,9.56
0.003250,10.04
0.003375,10.06
0.003500,10.06
0.003625,10.06
0.003687,10.06
0.003750,10.06
0.003813,10.06
0.003813,10.06
0.003813,10.06
0.003813,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003875,10.06
0.003813,9.48
0.003813,8.60
0.003750,7.69
0.003750,6.80
0.003687,5.93
0.003625,5.03
0.003563,4.20
0.003500,3.49
0.003438,2.88
0.003375,2.31
0.003313,1.75
0.003250,1.22
0.003188,0.73
0.003125,0.39
0.003063,0.17
0.002937,0.03
0.002875,-0.02
0.002813,0.01
0.002687,0.03
0.002563,0.04
0.002500,0.05
0.002375,0.06
0.002250,0.07
0.002125,0.07
0.002000,0.08
0.001875,0.09
0.001750,0.09
0.001625,0.10
0.001500,0.10
0.001375,0.10
0.001187,0.10
0.001062,0.11
9.375000E-4,0.10
7.500000E-4,0.10
6.250000E-4,0.10
4.375000E-4,0.11
3.125000E-4,0.11
1.875000E-4,0.08
1.250000E-4,0.01
1.250000E-4,-0.02
1.250000E-4,-0.01
1.250000E-4,0.00
1.875000E-4,0.00
1.875000E-4,0.01
1.875000E-4,0.02
1.875000E-4,0.02
1.875000E-4,0.03
1.875000E-4,0.03
1.875000E-4,0.04
1.875000E-4,0.04
1.875000E-4,0.05
1.875000E-4,0.05
1.875000E-4,0.05
1.875000E-4,0.06
1.875000E-4,0.06
1.875000E-4,0.07
1.875000E-4,0.07
1.875000E-4,0.07
1.875000E-4,0.08
1.875000E-4,0.08
1.875000E-4,0.08
1.875000E-4,0.09
1.875000E-4,0.09
1.875000E-4,0.09
1.875000E-4,0.09
1.875000E-4,0.09
1.875000E-4,0.09
1.875000E-4,0.10
1.875000E-4,0.10
1.875000E-4,0.10
1.875000E-4,0.10
1.875000E-4,0.10
1.875000E-4,0.10
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.12
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.12
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.11
1.875000E-4,0.12
1.875000E-4,0.11
1.875000E-4,0.12
1.875000E-4,0.11
1.875000E-4,0.12
1.875000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.12
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.12
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.11
1.250000E-4,0.12
1.250000E-4,0.11
1.250000E-4,0.12
